name,rating,genre,released_year,score,votes,director,writer,star,country,budget,gross,company
Spacehunter: Adventures in the Forbidden Zone,PG,Action,1983,5.5,5500,Lamont Johnson,Stewart Harding,Peter Strauss,United States,14400000,16478265,Columbia Pictures
High Road to China,PG,Adventure,1983,6.1,5100,Brian G. Hutton,Jon Cleary,Tom Selleck,United States,19000000,28445927,City Films
Of Unknown Origin,R,Horror,1983,6.1,2900,George P. Cosmatos,Chauncey G. Parker III,Peter Weller,Canada,4000000,1080470,Warner Bros.
Curse of the Pink Panther,PG,Comedy,1983,4.3,5700,Blake Edwards,Blake Edwards,David Niven,United Kingdom,11000000,4491986,United Artists
D.C. Cab,R,Action,1983,5.5,4400,Joel Schumacher,Topper Carew,Max Gail,United States,8000000,16134627,RKO Pictures
Beyond the Limit,R,Drama,1983,5.7,1200,John Mackenzie,Graham Greene,Michael Caine,United Kingdom,11800000,5997566,World Film Services
The Survivors,R,Comedy,1983,5.8,4700,Michael Ritchie,Michael Leeson,Walter Matthau,United States,12000000,14000000,Rastar Films
The Lonely Lady,R,Drama,1983,3,938,Peter Sasdy,Harold Robbins,Pia Zadora,United States,5000000,1223200,Harold Robbins International Company
The Man Who Loved Women,R,Comedy,1983,5.3,2200,Blake Edwards,Blake Edwards,Burt Reynolds,United States,19000000,10964740,Delphi Films
Nightmares,R,Horror,1983,5.8,3000,Joseph Sargent,Christopher Crowe,Cristina Raines,United States,6000000,6670680,Universal Pictures
Deal of the Century,PG,Comedy,1983,4.6,3600,William Friedkin,Paul Brickman,Chevy Chase,United States,10000000,10369581,Warner Bros.
Eddie Macon's Run,PG,Action,1983,5.7,1100,Jeff Kanew,James McLendon,Kirk Douglas,United States,5000000,1262691,Universal Pictures
Love Letters,R,Drama,1983,5.9,701,Amy Holden Jones,Amy Holden Jones,Jamie Lee Curtis,United States,550000,5269990,Millenium
Get Crazy,R,Comedy,1983,6.7,1100,Allan Arkush,Danny Opatoshu,Malcolm McDowell,United States,5500000,1645711,D & P Productions
